Date,DJI,^FTSE,^GSPC,^N225
2016-01-21,15882.700195,5773.799805,1868.9899899999998,16017.259766
2016-01-22,16093.5,5900.0,1906.9000239999998,16958.529297
2016-01-25,15885.200195,5877.0,1877.0799559999998,17110.910156
2016-01-26,16167.200195,5911.5,1903.630005,16708.900391
2016-01-27,15944.5,5990.399902,1882.949951,17163.919922
2016-01-28,16069.599609,5931.799805,1893.359985,17041.449219
2016-01-29,16466.300781,6083.799805,1940.2399899999998,17518.300781
2016-02-01,16449.199219,6060.100098,1939.380005,17865.230469
2016-02-02,16153.5,5922.0,1903.030029,17750.679688
2016-02-03,16336.700195,5837.100098,1912.530029,17191.25
2016-02-04,16416.599609,5898.799805,1915.449951,17044.990234
2016-02-05,16205.0,5848.100098,1880.050049,16819.589844
2016-02-08,16027.0,5689.399902,1853.439941,17004.300781
2016-02-09,16014.400391,5632.200195,1852.209961,16085.44043
2016-02-10,15914.700195,5672.299805,1851.859985,15713.389647999998
2016-02-11,15660.200195,5537.0,1829.0799559999998,15713.389647999998
2016-02-12,15973.799805,5707.600098,1864.780029,14952.610352000002
2016-02-15,15973.799805,5824.299805,1864.780029,16022.580078
2016-02-16,16196.400391,5862.200195,1895.5799559999998,16054.429688
2016-02-17,16453.800781,6030.299805,1926.819946,15836.360352000002
2016-02-18,16413.400391,5972.0,1917.8299559999998,16196.799805
2016-02-19,16392.0,5950.200195,1917.780029,15967.169922
2016-02-22,16620.699219,6037.700195,1945.5,16111.049805
2016-02-23,16431.800781,5962.299805,1921.27002,16052.049805
2016-02-24,16485.0,5867.200195,1929.800049,15915.790038999998
2016-02-25,16697.300781,6012.799805,1951.699951,16140.339844
2016-02-26,16640.0,6096.0,1948.050049,16188.410156
2016-02-29,16516.5,6097.100098,1932.22998,16026.759766
2016-03-01,16865.099609,6152.899902,1978.3499760000002,16085.509766
2016-03-02,16899.300781,6147.100098,1986.449951,16746.550781
2016-03-03,16943.900391,6130.5,1993.4000239999998,16960.160156
2016-03-04,17006.800781,6199.399902,1999.9899899999998,17014.779297
2016-03-07,17073.900391,6182.399902,2001.7600100000002,16911.320313
2016-03-08,16964.099609,6125.399902,1979.2600100000002,16783.150391
2016-03-09,17000.400391,6146.299805,1989.2600100000002,16642.199219
2016-03-10,16995.099609,6036.700195,1989.569946,16852.349609
2016-03-11,17213.300781,6139.799805,2022.189941,16938.869141
2016-03-14,17229.099609,6174.600098,2019.640015,17233.75
2016-03-15,17251.5,6140.0,2015.930054,17117.070313
2016-03-16,17325.800781,6175.5,2027.219971,16974.449219
2016-03-17,17481.5,6201.100098,2040.589966,16936.380859
2016-03-18,17602.300781,6189.600098,2049.580078,16724.810547
2016-03-21,17623.900391,6184.600098,2051.600098,16724.810547
2016-03-22,17582.599609,6192.700195,2049.800049,17048.550781
2016-03-23,17502.599609,6199.100098,2036.709961,17000.980469
2016-03-24,17515.699219,6106.5,2035.939941,16892.330078
2016-03-25,17515.699219,6106.5,2035.939941,17002.75
2016-03-28,17535.400391,6106.5,2037.050049,17134.369141
2016-03-29,17633.099609,6105.899902,2055.01001,17103.529297
2016-03-30,17716.699219,6203.200195,2063.949951,16878.960938
2016-03-31,17685.099609,6174.899902,2059.73999,16758.669922
2016-04-01,17792.800781,6146.100098,2072.780029,16164.160156
2016-04-04,17737.0,6164.700195,2066.1298829999996,16123.269531
2016-04-05,17603.300781,6091.200195,2045.1700440000002,15732.820313
2016-04-06,17716.099609,6161.600098,2066.659912,15715.360352000002
2016-04-07,17542.0,6136.899902,2041.910034,15749.839844
2016-04-08,17577.0,6204.399902,2047.5999760000002,15821.519531
2016-04-11,17556.400391,6200.100098,2041.9899899999998,15751.129883000001
2016-04-12,17721.199219,6242.399902,2061.719971,15928.790038999998
2016-04-13,17908.300781,6362.899902,2082.419922,16381.219727000002
2016-04-14,17926.400391,6365.100098,2082.780029,16911.050781
2016-04-15,17897.5,6343.799805,2080.72998,16848.029297
2016-04-18,18004.199219,6353.5,2094.340088,16275.950195
2016-04-19,18053.599609,6405.399902,2100.800049,16874.439453
2016-04-20,18096.300781,6410.299805,2102.399902,16906.539063
2016-04-21,17982.5,6381.399902,2091.47998,17363.619141
2016-04-22,18003.800781,6310.399902,2091.580078,17572.490234
2016-04-25,17977.199219,6260.899902,2087.790039,17439.300781
2016-04-26,17990.300781,6284.5,2091.699951,17353.279297
2016-04-27,18041.599609,6319.899902,2095.149902,17290.490234
2016-04-28,17830.800781,6322.399902,2075.810059,16666.050781
2016-04-29,17773.599609,6241.899902,2065.300049,16666.050781
2016-05-02,17891.199219,6241.899902,2081.429932,16147.379883000001
2016-05-03,17750.900391,6185.600098,2063.3701170000004,16147.379883000001
2016-05-04,17651.300781,6112.0,2051.1201170000004,16147.379883000001
2016-05-05,17660.699219,6117.299805,2050.6298829999996,16147.379883000001
2016-05-06,17740.599609,6125.700195,2057.139893,16106.719727000002
2016-05-09,17705.900391,6114.799805,2058.689941,16216.030272999998
2016-05-10,17928.300781,6156.700195,2084.389893,16565.189453
2016-05-11,17711.099609,6162.5,2064.459961,16579.009766
2016-05-12,17720.5,6104.200195,2064.110107,16646.339844
2016-05-13,17535.300781,6138.5,2046.609985,16412.210938
2016-05-16,17710.699219,6151.399902,2066.659912,16466.400391
2016-05-17,17530.0,6167.799805,2047.209961,16652.800781
2016-05-18,17526.599609,6165.799805,2047.630005,16644.689453
2016-05-19,17435.400391,6053.399902,2040.040039,16646.660156
2016-05-20,17500.900391,6156.299805,2052.320068,16736.349609
2016-05-23,17492.900391,6136.399902,2048.040039,16654.599609
2016-05-24,17706.099609,6219.299805,2076.060059,16498.759766
2016-05-25,17851.5,6262.899902,2090.540039,16757.349609
2016-05-26,17828.300781,6265.700195,2090.100098,16772.460938
2016-05-27,17873.199219,6270.799805,2099.060059,16834.839844
2016-05-30,17873.199219,6270.799805,2099.060059,17068.019531
2016-05-31,17787.199219,6230.799805,2096.949951,17234.980469
2016-06-01,17789.699219,6191.899902,2099.330078,16955.730469
2016-06-02,17838.599609,6185.600098,2105.26001,16562.550781
2016-06-03,17807.099609,6209.600098,2099.1298829999996,16642.230469
2016-06-06,17920.300781,6273.399902,2109.409912,16580.029297
2016-06-07,17938.300781,6284.5,2112.1298829999996,16675.449219
2016-06-08,18005.099609,6301.5,2119.1201170000004,16830.919922
2016-06-09,17985.199219,6231.899902,2115.47998,16668.410156
2016-06-10,17865.300781,6115.799805,2096.070068,16601.359375
2016-06-13,17732.5,6045.0,2079.060059,16019.179688
2016-06-14,17674.800781,5923.5,2075.320068,15859.0
2016-06-15,17640.199219,5966.799805,2071.5,15919.580078
2016-06-16,17733.099609,5950.5,2077.98999,15434.139647999998
2016-06-17,17675.199219,6021.100098,2071.219971,15599.660156
2016-06-20,17804.900391,6204.0,2083.25,15965.299805
2016-06-21,17829.699219,6226.600098,2088.899902,16169.110352000002
2016-06-22,17780.800781,6261.200195,2085.449951,16065.719727000002
2016-06-23,18011.099609,6338.100098,2113.320068,16238.349609
2016-06-24,17400.800781,6138.700195,2037.410034,14952.019531
2016-06-27,17140.199219,5982.200195,2000.540039,15309.209961000002
2016-06-28,17409.699219,6140.399902,2036.089966,15323.139647999998
2016-06-29,17694.699219,6360.100098,2070.77002,15566.830078
2016-06-30,17930.0,6504.299805,2098.860107,15575.919922
2016-07-01,17949.400391,6577.799805,2102.949951,15682.480469
2016-07-04,17949.400391,6522.299805,2102.949951,15775.799805
2016-07-05,17840.599609,6545.399902,2088.550049,15669.330078
2016-07-06,17918.599609,6463.600098,2099.72998,15378.990234
2016-07-07,17895.900391,6533.799805,2097.899902,15276.240234
2016-07-08,18146.699219,6590.600098,2129.899902,15106.980469
2016-07-11,18226.900391,6682.899902,2137.159912,15708.820313
2016-07-12,18347.699219,6680.700195,2152.139893,16095.650391
2016-07-13,18372.099609,6670.399902,2152.429932,16231.429688
2016-07-14,18506.400391,6654.5,2163.75,16385.890625
2016-07-15,18516.599609,6669.200195,2161.73999,16497.849609
2016-07-18,18533.099609,6695.399902,2166.889893,16497.849609
2016-07-19,18559.0,6697.399902,2163.780029,16723.310547
2016-07-20,18595.0,6729.0,2173.02002,16681.890625
2016-07-21,18517.199219,6699.899902,2165.169922,16810.220703
2016-07-22,18570.800781,6730.5,2175.030029,16627.25
2016-07-25,18493.099609,6710.100098,2168.47998,16620.289063
2016-07-26,18473.800781,6724.0,2169.179932,16383.040038999998
2016-07-27,18472.199219,6750.399901999999,2166.580078,16664.820313
2016-07-28,18456.300781,6721.100098000001,2170.060059,16476.839844
2016-07-29,18432.199219,6724.399901999999,2173.600098,16569.269531
2016-08-01,18404.5,6694.0,2170.840088,16635.769531
2016-08-02,18313.800781,6645.399902,2157.030029,16391.449219
2016-08-03,18355.0,6634.399902,2163.790039,16083.110352000002
2016-08-04,18352.099609,6740.200195,2164.25,16254.889647999998
2016-08-05,18543.5,6793.5,2182.8701170000004,16254.450195
2016-08-08,18529.300781,6809.100098000001,2180.889893,16650.570313
2016-08-09,18533.099609,6851.299805,2181.73999,16764.970703
2016-08-10,18495.699219,6866.399901999999,2175.48999,16735.119141
2016-08-11,18613.5,6914.700195,2185.790039,16735.119141
2016-08-12,18576.5,6916.0,2184.050049,16919.919922
2016-08-15,18636.099609,6941.200195,2190.149902,16869.560547
2016-08-16,18552.0,6893.899901999999,2178.149902,16596.509766
2016-08-17,18573.900391,6859.200195,2182.219971,16745.640625
2016-08-18,18597.699219,6869.0,2187.02002,16486.009766
2016-08-19,18552.599609,6859.0,2183.8701170000004,16545.820313
2016-08-22,18529.400391,6828.5,2182.639893,16598.189453
2016-08-23,18547.300781,6868.5,2186.899902,16497.359375
2016-08-24,18481.5,6835.799805,2175.439941,16597.300781
2016-08-25,18448.400391,6816.899901999999,2172.469971,16555.949219
2016-08-26,18395.400391,6838.100098000001,2169.040039,16360.709961000002
2016-08-29,18503.0,6838.100098000001,2180.3798829999996,16737.490234
2016-08-30,18454.300781,6820.799805,2176.1201170000004,16725.359375
2016-08-31,18400.900391,6781.5,2170.949951,16887.400391
2016-09-01,18419.300781,6746.0,2170.860107,16926.839844
2016-09-02,18492.0,6894.600098000001,2179.97998,16925.679688
2016-09-05,18492.0,6879.399901999999,2179.97998,17037.630859
2016-09-06,18538.099609,6826.100098000001,2186.47998,17081.980469
2016-09-07,18526.099609,6846.600098000001,2186.159912,17012.439453
2016-09-08,18479.900391,6858.700195,2181.300049,16958.769531
2016-09-09,18085.400391,6777.0,2127.810059,16965.759766
2016-09-12,18325.099609,6700.899902,2159.040039,16672.919922
2016-09-13,18066.800781,6665.600098,2127.02002,16729.039063
2016-09-14,18034.800781,6673.299805,2125.77002,16614.240234
2016-09-15,18212.5,6730.299805,2147.26001,16405.009766
2016-09-16,18123.800781,6710.299805,2139.159912,16519.289063
2016-09-19,18120.199219,6813.600098000001,2139.1201170000004,16519.289063
2016-09-20,18130.0,6830.799805,2139.76001,16492.150391
2016-09-21,18293.699219,6834.799805,2163.1201170000004,16807.619141
2016-09-22,18392.5,6911.399901999999,2177.179932,16807.619141
2016-09-23,18261.400391,6909.399901999999,2164.689941,16754.019531
2016-09-26,18094.800781,6818.0,2146.100098,16544.560547
2016-09-27,18228.300781,6807.700195,2159.929932,16683.929688
2016-09-28,18339.199219,6849.399901999999,2171.3701170000004,16465.400391
2016-09-29,18143.400391,6919.399901999999,2151.1298829999996,16693.710938
2016-09-30,18308.199219,6899.299805,2168.27002,16449.839844
2016-10-03,18253.800781,6983.5,2161.199951,16598.669922
2016-10-04,18168.400391,7074.299805,2150.48999,16735.650391
2016-10-05,18281.0,7033.299805,2159.72998,16819.240234
2016-10-06,18268.5,7000.0,2160.77002,16899.099609
2016-10-07,18240.5,7044.399901999999,2153.73999,16860.089844
2016-10-10,18329.0,7097.5,2163.659912,16860.089844
2016-10-11,18128.699219,7070.899901999999,2136.72998,17024.759766
2016-10-12,18144.199219,7024.0,2139.179932,16840.0
2016-10-13,18098.900391,6977.700195,2132.550049,16774.240234
2016-10-14,18138.400391,7013.600098000001,2132.97998,16856.369141
2016-10-17,18086.400391,6947.600098000001,2126.5,16900.119141
2016-10-18,18161.900391,7000.100098000001,2139.600098,16963.609375
2016-10-19,18202.599609,7021.899901999999,2144.290039,16998.910156
2016-10-20,18162.300781,7026.899901999999,2141.340088,17235.5
2016-10-21,18145.699219,7020.5,2141.159912,17184.589844
2016-10-24,18223.0,6986.399901999999,2151.330078,17234.419922
2016-10-25,18169.300781,7017.600098000001,2143.159912,17365.25
2016-10-26,18199.300781,6958.100098000001,2139.429932,17391.839844
2016-10-27,18169.699219,6986.600098000001,2133.040039,17336.419922
2016-10-28,18161.199219,6996.299805,2126.409912,17446.410156
2016-10-31,18142.400391,6954.200195,2126.149902,17425.019531
2016-11-01,18037.099609,6917.100098000001,2111.719971,17442.400391
2016-11-02,17959.599609,6845.399901999999,2097.939941,17134.679688
2016-11-03,17930.699219,6790.5,2088.659912,17134.679688
2016-11-04,17888.300781,6693.299805,2085.179932,16905.359375
2016-11-07,18259.599609,6806.899901999999,2131.52002,17177.210938
2016-11-08,18332.699219,6843.100098000001,2139.560059,17171.380859
2016-11-09,18589.699219,6911.799805,2163.26001,16251.540038999998
2016-11-10,18807.900391,6828.0,2167.47998,17344.419922
2016-11-11,18847.699219,6730.399901999999,2164.449951,17374.789063
2016-11-14,18868.699219,6753.200195,2164.199951,17672.619141
2016-11-15,18923.099609,6792.700195,2180.389893,17668.150391
2016-11-16,18868.099609,6749.700195,2176.939941,17862.210938
2016-11-17,18903.800781,6794.700195,2187.1201170000004,17862.630859
2016-11-18,18867.900391,6775.799805,2181.899902,17967.410156
2016-11-21,18956.699219,6778.0,2198.179932,18106.019531
2016-11-22,19023.900391,6819.700195,2202.939941,18162.939453
2016-11-23,19083.199219,6817.700195,2204.719971,18162.939453
2016-11-24,19083.199219,6829.200195,2204.719971,18333.410156
2016-11-25,19152.099609,6840.799805,2213.350098,18381.220703
2016-11-28,19097.900391,6799.5,2201.719971,18356.890625
2016-11-29,19121.599609,6772.0,2204.659912,18307.039063
2016-11-30,19123.599609,6783.799805,2198.810059,18308.480469
2016-12-01,19191.900391,6752.899901999999,2191.080078,18513.119141
2016-12-02,19170.400391,6730.700195,2191.949951,18426.080078
2016-12-05,19216.199219,6746.799805,2204.709961,18274.990234
2016-12-06,19251.800781,6779.799805,2212.22998,18360.539063
2016-12-07,19549.599609,6902.200195,2241.350098,18496.689453
2016-12-08,19614.800781,6931.600098000001,2246.189941,18765.470703
2016-12-09,19756.800781,6954.200195,2259.530029,18996.369141
2016-12-12,19796.400391,6890.399901999999,2256.959961,19155.029297
2016-12-13,19911.199219,6968.600098000001,2271.719971,19250.519531
2016-12-14,19792.5,6949.200195,2253.280029,19253.609375
2016-12-15,19852.199219,6999.0,2262.030029,19273.789063
2016-12-16,19843.400391,7011.600098000001,2258.070068,19401.150391
2016-12-19,19883.099609,7017.200195,2262.530029,19391.599609
2016-12-20,19974.599609,7044.0,2270.76001,19494.529297
2016-12-21,19942.0,7041.399901999999,2265.179932,19444.490234
2016-12-22,19918.900391,7063.700195,2260.959961,19427.669922
2016-12-23,19933.800781,7068.200195,2263.790039,19427.669922
2016-12-26,19933.800781,7068.200195,2263.790039,19396.640625
2016-12-27,19945.0,7068.200195,2268.8798829999996,19403.060547
2016-12-28,19833.699219,7106.100098000001,2249.919922,19401.720703
2016-12-29,19819.800781,7120.299805,2249.26001,19145.140625
2016-12-30,19762.599609,7142.799805,2238.830078,19114.369141
2017-01-03,19881.800781,7177.899901999999,2257.830078,19114.369141
2017-01-04,19942.199219,7189.700195,2270.75,19594.160156
2017-01-05,19899.300781,7195.299805,2269.0,19520.689453
2017-01-06,19963.800781,7210.100098000001,2276.97998,19454.330078
2017-01-09,19887.400391,7237.799805,2268.899902,19454.330078
2017-01-10,19855.5,7275.5,2268.899902,19301.439453
2017-01-11,19954.300781,7290.5,2275.320068,19364.669922
2017-01-12,19891.0,7292.399901999999,2270.439941,19134.699219
2017-01-13,19885.699219,7337.799805,2274.639893,19287.279297
2017-01-16,19885.699219,7327.100098000001,2274.639893,19095.240234
2017-01-17,19826.800781,7220.399901999999,2267.889893,18813.529297
2017-01-18,19804.699219,7247.600098000001,2271.889893,18894.369141
2017-01-19,19732.400391,7208.399901999999,2263.689941,19072.25
2017-01-20,19827.199219,7198.399901999999,2271.310059,19137.910156
2017-01-23,19799.800781,7151.200195,2265.199951,18891.029297
2017-01-24,19912.699219,7150.299805,2280.070068,18787.990234
2017-01-25,20068.5,7164.399901999999,2298.3701170000004,19057.5
2017-01-26,20100.900391,7161.5,2296.679932,19402.390625
2017-01-27,20093.800781,7184.5,2294.689941,19467.400391
2017-01-30,19971.099609,7118.5,2280.899902,19368.849609
